,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Gender_female,Gender_male,LunchType_free/reduced,LunchType_standard
0,female,2,1,standard,1,1,1,1,3.0,1,1,71,71,74,1.0,0.0,0.0,1.0
1,female,2,5,standard,1,1,2,1,0.0,2,0,69,90,88,1.0,0.0,0.0,1.0
2,female,1,3,standard,1,2,2,1,4.0,1,1,87,93,91,1.0,0.0,0.0,1.0
3,male,0,0,free/reduced,1,1,0,0,1.0,2,0,45,56,42,0.0,1.0,1.0,0.0
4,male,2,5,standard,1,1,2,1,0.0,1,0,76,78,75,0.0,1.0,0.0,1.0
5,female,1,0,standard,1,1,1,1,1.0,1,0,73,84,79,1.0,0.0,0.0,1.0
6,female,1,5,standard,0,3,0,0,1.0,0,0,85,93,89,1.0,0.0,0.0,1.0
7,male,1,5,free/reduced,1,1,2,1,1.0,0,2,41,43,39,0.0,1.0,1.0,0.0
8,male,3,2,free/reduced,0,2,2,0,3.0,0,2,65,64,68,0.0,1.0,1.0,0.0
9,female,1,2,free/reduced,1,1,1,1,2.0,0,1,37,59,50,1.0,0.0,1.0,0.0
10,male,2,0,standard,1,1,2,1,1.0,0,0,58,54,52,0.0,1.0,0.0,1.0
11,male,3,0,standard,1,0,2,1,1.0,1,0,40,52,43,0.0,1.0,0.0,1.0
12,female,1,2,standard,1,1,1,0,1.0,0,0,66,82,74,1.0,0.0,0.0,1.0
13,male,0,5,standard,0,2,2,1,1.0,0,2,80,73,71,0.0,1.0,0.0,1.0
14,female,0,3,standard,1,0,2,1,2.0,0,1,48,53,58,1.0,0.0,0.0,1.0
15,female,2,6,standard,1,1,2,1,0.0,0,0,69,75,78,1.0,0.0,0.0,1.0
16,male,2,2,standard,1,1,2,1,0.0,1,0,88,89,86,0.0,1.0,0.0,1.0
17,female,1,6,free/reduced,1,0,2,1,1.0,1,0,18,32,28,1.0,0.0,1.0,0.0
18,male,2,3,free/reduced,0,2,2,0,1.0,0,0,46,42,47,0.0,1.0,1.0,0.0
19,female,2,0,free/reduced,1,1,0,1,3.0,0,1,50,56,58,1.0,0.0,1.0,0.0
20,male,3,2,standard,1,1,2,1,5.0,1,0,66,69,63,0.0,1.0,0.0,1.0
21,female,1,5,free/reduced,0,1,2,0,2.0,1,0,65,75,70,1.0,0.0,1.0,0.0
22,male,3,4,standard,1,1,0,1,5.0,2,0,42,53,51,0.0,1.0,0.0,1.0
23,female,2,6,standard,1,0,0,0,3.0,2,0,66,71,71,1.0,0.0,0.0,1.0
24,male,3,4,free/reduced,0,1,2,1,2.0,1,0,74,71,80,0.0,1.0,1.0,0.0
25,male,0,3,free/reduced,1,1,1,1,1.0,1,0,75,76,76,0.0,1.0,1.0,0.0
26,male,1,5,standard,1,1,2,1,5.0,1,1,66,53,53,0.0,1.0,0.0,1.0
27,female,2,1,standard,1,1,2,1,4.0,1,2,69,70,76,1.0,0.0,0.0,1.0
28,male,2,2,standard,1,1,2,0,1.0,0,0,70,70,65,0.0,1.0,0.0,1.0
29,female,3,5,standard,1,2,2,1,0.0,0,1,66,72,72,1.0,0.0,0.0,1.0
30,female,1,5,standard,1,2,2,1,5.0,2,0,63,65,61,1.0,0.0,0.0,1.0
31,female,4,3,free/reduced,1,0,2,1,1.0,1,0,56,73,66,1.0,0.0,1.0,0.0
32,male,2,5,standard,1,1,2,0,2.0,0,0,40,42,38,0.0,1.0,0.0,1.0
33,male,4,5,standard,1,0,2,1,0.0,1,0,97,87,82,0.0,1.0,0.0,1.0
34,male,4,0,standard,0,2,2,0,2.0,1,0,81,81,79,0.0,1.0,0.0,1.0
35,female,3,0,standard,1,1,1,0,2.0,0,0,76,82,85,1.0,0.0,0.0,1.0
36,female,3,6,free/reduced,1,1,1,1,1.0,0,0,51,64,60,1.0,0.0,1.0,0.0
37,female,3,0,free/reduced,0,1,1,0,1.0,1,0,77,91,90,1.0,0.0,1.0,0.0
38,male,1,0,free/reduced,1,2,1,1,5.0,1,0,58,56,58,0.0,1.0,1.0,0.0
39,male,2,0,free/reduced,1,1,0,1,0.0,1,0,53,60,52,0.0,1.0,1.0,0.0
40,female,2,0,standard,1,0,1,0,1.0,2,0,59,74,69,1.0,0.0,0.0,1.0
41,male,1,5,free/reduced,1,1,1,1,3.0,1,0,60,65,67,0.0,1.0,1.0,0.0
42,female,4,0,free/reduced,1,1,2,1,5.0,1,1,48,55,52,1.0,0.0,1.0,0.0
43,male,1,0,standard,1,2,2,1,3.0,1,1,63,53,55,0.0,1.0,0.0,1.0
44,female,2,2,standard,1,1,1,1,2.0,0,0,67,72,77,1.0,0.0,0.0,1.0
45,male,2,0,free/reduced,0,1,1,0,2.0,0,1,76,68,68,0.0,1.0,1.0,0.0
46,male,2,5,standard,1,0,1,1,3.0,1,2,56,45,43,0.0,1.0,0.0,1.0
47,male,3,2,standard,1,2,2,1,2.0,1,0,88,78,75,0.0,1.0,0.0,1.0
48,female,2,6,free/reduced,0,1,1,1,2.0,0,2,75,86,90,1.0,0.0,1.0,0.0
49,female,2,2,free/reduced,1,0,2,1,2.0,0,0,33,41,43,1.0,0.0,1.0,0.0
50,female,4,0,standard,0,1,2,1,3.0,1,2,84,86,87,1.0,0.0,0.0,1.0
51,male,3,0,standard,1,2,2,0,2.0,0,0,52,55,49,0.0,1.0,0.0,1.0
52,male,3,4,standard,0,1,1,0,1.0,0,2,61,60,60,0.0,1.0,0.0,1.0
53,female,2,6,free/reduced,1,2,1,1,3.0,1,2,0,17,10,1.0,0.0,1.0,0.0
