,StudentId,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,520645,female,,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,71,74
1,303683,female,group C,some college,standard,,married,sometimes,yes,0.0,,5 - 10,69,90,88
2,457351,female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91
3,812988,male,group A,associate's degree,free/reduced,none,married,never,no,1.0,,5 - 10,45,56,42
4,594678,male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75
5,957515,female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79
6,582817,female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89
7,887931,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39
8,693744,male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68
9,927529,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,37,59,50
10,820437,male,group C,associate's degree,standard,none,,sometimes,yes,1.0,private,5 - 10,58,54,52
11,364121,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43
12,554510,female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74
13,144885,male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71
14,872279,female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58
15,434837,female,group C,some high school,standard,none,married,sometimes,yes,0.0,private,,69,75,78
16,129542,male,group C,high school,standard,,married,sometimes,yes,0.0,school_bus,5 - 10,88,89,86
17,682358,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28
18,890114,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47
19,973613,female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58
20,543909,male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63
21,174002,female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70
22,640537,male,group D,,standard,none,married,never,yes,5.0,,5 - 10,42,53,51
23,780418,female,group C,some high school,standard,none,divorced,never,no,3.0,,5 - 10,66,71,71
